Wavelength,Protected Au
2.06,0.9821
2.061,0.9821028
2.062,0.9821104
2.063,0.9821216
2.064,0.9821352
2.065,0.98215
2.066,0.9821648
2.067,0.9821784
2.068,0.9821896
2.069,0.9821972
2.07,0.9822
2.071,0.9822
2.072,0.9822
2.073,0.9822
2.074,0.9822
2.075,0.9822
2.076,0.9822
2.077,0.9822
2.078,0.9822
2.079,0.9822
2.08,0.9822
2.081,0.9822
2.082,0.9822
2.083,0.9822
2.084,0.9822
2.085,0.9822
2.086,0.9822
2.087,0.9822
2.088,0.9822
2.089,0.9822
2.09,0.9822
2.091,0.9822
2.092,0.9822
2.093,0.9822
2.094,0.9822
2.095,0.9822
2.096,0.9822
2.097,0.9822
2.098,0.9822
2.099,0.9822
2.1,0.9822
2.101,0.9822
2.102,0.9822
2.103,0.9822
2.104,0.9822
2.105,0.9822
2.106,0.9822
2.107,0.9822
2.108,0.9822
2.109,0.9822
2.11,0.9822
2.111,0.9822028
2.112,0.9822104
2.113,0.9822216
2.114,0.9822352
2.115,0.98225
2.116,0.9822648
2.117,0.9822784
2.118,0.9822896
2.119,0.9822972
2.12,0.9823
2.121,0.9823
2.122,0.9823
2.123,0.9823
2.124,0.9823
2.125,0.9823
2.126,0.9823
2.127,0.9823
2.128,0.9823
2.129,0.9823
2.13,0.9823
2.131,0.9823028
2.132,0.9823104
2.133,0.9823216
2.134,0.9823352
2.135,0.98235
2.136,0.9823648
2.137,0.9823784
2.138,0.9823896
2.139,0.9823972
2.14,0.9824
2.141,0.9824
2.142,0.9824
2.143,0.9824
2.144,0.9824
2.145,0.9824
2.146,0.9824
2.147,0.9824
2.148,0.9824
2.149,0.9824
2.15,0.9824
2.151,0.9824028
2.152,0.9824104
2.153,0.9824216
2.154,0.9824352
2.155,0.98245
2.156,0.9824648
2.157,0.9824784
2.158,0.9824896
2.159,0.9824972
2.16,0.9825
2.161,0.9825
2.162,0.9825
2.163,0.9825
2.164,0.9825
2.165,0.9825
2.166,0.9825
2.167,0.9825
2.168,0.9825
2.169,0.9825
2.17,0.9825
2.171,0.9825
2.172,0.9825
2.173,0.9825
2.174,0.9825
2.175,0.9825
2.176,0.9825
2.177,0.9825
2.178,0.9825
2.179,0.9825
2.18,0.9825
2.181,0.9825028
2.182,0.9825104
2.183,0.9825216
2.184,0.9825352
2.185,0.98255
2.186,0.9825648
2.187,0.9825784
2.188,0.9825896
2.189,0.9825972
2.19,0.9826
2.191,0.9826
2.192,0.9826
2.193,0.9826
2.194,0.9826
2.195,0.9826
2.196,0.9826
2.197,0.9826
2.198,0.9826
2.199,0.9826
2.2,0.9826
2.201,0.9826
2.202,0.9826
2.203,0.9826
2.204,0.9826
2.205,0.9826
2.206,0.9826
2.207,0.9826
2.208,0.9826
2.209,0.9826
2.21,0.9826
2.211,0.9826
2.212,0.9826
2.213,0.9826
2.214,0.9826
2.215,0.9826
2.216,0.9826
2.217,0.9826
2.218,0.9826
2.219,0.9826
2.22,0.9826
2.221,0.9826
2.222,0.9826
2.223,0.9826
2.224,0.9826
2.225,0.9826
2.226,0.9826
2.227,0.9826
2.228,0.9826
2.229,0.9826
2.23,0.9826
2.231,0.9826
2.232,0.9826
2.233,0.9826
2.234,0.9826
2.235,0.9826
2.236,0.9826
2.237,0.9826
2.238,0.9826
2.239,0.9826
2.24,0.9826
2.241,0.9826028
2.242,0.9826104
2.243,0.9826216
2.244,0.9826352
2.245,0.98265
2.246,0.9826648
2.247,0.9826784
2.248,0.9826896
2.249,0.9826972
2.25,0.9827
2.251,0.9827
2.252,0.9827
2.253,0.9827
2.254,0.9827
2.255,0.9827
2.256,0.9827
2.257,0.9827
2.258,0.9827
2.259,0.9827
2.26,0.9827
2.261,0.9827028
2.262,0.9827104
2.263,0.9827216
2.264,0.9827352
2.265,0.98275
2.266,0.9827648
2.267,0.9827784
2.268,0.9827896
2.269,0.9827972
2.27,0.9828
2.271,0.9828
2.272,0.9828
2.273,0.9828
2.274,0.9828
2.275,0.9828
2.276,0.9828
2.277,0.9828
2.278,0.9828
2.279,0.9828
2.28,0.9828
2.281,0.9828028
2.282,0.9828104
2.283,0.9828216
2.284,0.9828352
2.285,0.98285
2.286,0.9828648
2.287,0.9828784
2.288,0.9828896
2.289,0.9828972
2.29,0.9829
2.291,0.9829
2.292,0.9829
2.293,0.9829
2.294,0.9829
2.295,0.9829
2.296,0.9829
2.297,0.9829
2.298,0.9829
2.299,0.9829
2.3,0.9829
2.301,0.9829
2.302,0.9829
2.303,0.9829
2.304,0.9829
2.305,0.9829
2.306,0.9829
2.307,0.9829
2.308,0.9829
2.309,0.9829
2.31,0.9829
2.311,0.9829028
2.312,0.9829104
2.313,0.9829216
2.314,0.9829352
2.315,0.98295
2.316,0.9829648
2.317,0.9829784
2.318,0.9829896
2.319,0.9829972
2.32,0.983
2.321,0.983
2.322,0.983
2.323,0.983
2.324,0.983
2.325,0.983
2.326,0.983
2.327,0.983
2.328,0.983
2.329,0.983
2.33,0.983
