Wavelength,Fiber prop
2.035,0.854367613
2.036,0.85428212
2.037,0.854210649
2.038,0.854156059
2.039,0.854121208
2.04,0.854108956
2.041,0.854112471
2.042,0.854122654
2.043,0.854138962
2.044,0.854160852
2.045,0.854187779
2.046,0.854219201
2.047,0.854254574
2.048,0.854293354
2.049,0.854335
2.05,0.854378966
2.051,0.854448945
2.052,0.854561824
2.053,0.85470685
2.054,0.854873271
2.055,0.855050336
2.056,0.855227293
2.057,0.85539339
2.058,0.855537875
2.059,0.855649996
2.06,0.855719001
2.061,0.855761823
2.062,0.85580224
2.063,0.855839772
2.064,0.855873936
2.065,0.855904252
2.066,0.855930236
2.067,0.855951409
2.068,0.855967288
2.069,0.855977391
2.07,0.855981237
2.071,0.855981742
2.072,0.855982153
2.073,0.855982487
2.074,0.85598276
2.075,0.85598299
2.076,0.855983191
2.077,0.855983382
2.078,0.855983578
2.079,0.855983796
2.08,0.855984053
2.081,0.85598436
2.082,0.855984706
2.083,0.855985075
2.084,0.855985449
2.085,0.855985812
2.086,0.855986147
2.087,0.855986437
2.088,0.855986665
2.089,0.855986815
2.09,0.855986868
2.091,0.855978021
2.092,0.855953259
2.093,0.855915257
2.094,0.855866685
2.095,0.855810215
2.096,0.85574852
2.097,0.855684272
2.098,0.855620142
2.099,0.855558804
2.1,0.855502928
2.101,0.855449814
2.102,0.85539516
2.103,0.855339238
2.104,0.85528232
2.105,0.855224677
2.106,0.855166581
2.107,0.855108304
2.108,0.855050118
2.109,0.854992294
2.11,0.854935104
2.111,0.854879991
2.112,0.854827474
2.113,0.854776441
2.114,0.854725779
2.115,0.854674375
2.116,0.854621117
2.117,0.854564891
2.118,0.854504584
2.119,0.854439085
2.12,0.85436728
2.121,0.854285286
2.122,0.854191299
2.123,0.854087327
2.124,0.853975379
2.125,0.853857461
2.126,0.853735582
2.127,0.853611749
2.128,0.85348797
2.129,0.853366253
2.13,0.853248606
2.131,0.853133046
2.132,0.85301638
2.133,0.852898805
2.134,0.852780515
2.135,0.852661705
2.136,0.85254257
2.137,0.852423305
2.138,0.852304105
2.139,0.852185165
2.14,0.85206668
2.141,0.851948701
2.142,0.851831055
2.143,0.851713598
2.144,0.85159619
2.145,0.851478686
2.146,0.851360944
2.147,0.851242823
2.148,0.851124179
2.149,0.85100487
2.15,0.850884753
2.151,0.850763916
2.152,0.850642551
2.153,0.850520672
2.154,0.850398294
2.155,0.850275431
2.156,0.850152097
2.157,0.850028307
2.158,0.849904075
2.159,0.849779417
2.16,0.849654345
2.161,0.849528632
2.162,0.849402132
2.163,0.849274983
2.164,0.849147326
2.165,0.849019298
2.166,0.848891038
2.167,0.848762686
2.168,0.84863438
2.169,0.84850626
2.17,0.848378463
2.171,0.848252847
2.172,0.848130299
2.173,0.848009504
2.174,0.847889148
2.175,0.847767915
2.176,0.84764449
2.177,0.847517559
2.178,0.847385807
2.179,0.847247919
2.18,0.84710258
2.181,0.846947872
2.182,0.846783688
2.183,0.846611433
2.184,0.846432509
2.185,0.846248319
2.186,0.846060269
2.187,0.84586976
2.188,0.845678196
2.189,0.845486981
2.19,0.845297518
2.191,0.845107818
2.192,0.844915291
2.193,0.844720439
2.194,0.844523762
2.195,0.844325764
2.196,0.844126944
2.197,0.843927806
2.198,0.843728851
2.199,0.84353058
2.2,0.843333495
2.201,0.843136817
2.202,0.842939593
2.203,0.842742063
2.204,0.842544469
2.205,0.842347051
2.206,0.84215005
2.207,0.841953705
2.208,0.841758259
2.209,0.841563952
2.21,0.841371024
2.211,0.841179611
2.212,0.840989532
2.213,0.840800551
2.214,0.840612433
2.215,0.840424943
2.216,0.840237845
2.217,0.840050903
2.218,0.839863883
2.219,0.83967655
2.22,0.839488667
2.221,0.839300235
2.222,0.839111499
2.223,0.838922589
2.224,0.838733635
2.225,0.838544768
2.226,0.838356118
2.227,0.838167817
2.228,0.837979995
2.229,0.837792782
2.23,0.837606309
2.231,0.837416857
2.232,0.837222222
2.233,0.837024808
2.234,0.836827019
2.235,0.836631256
2.236,0.836439925
2.237,0.836255429
2.238,0.83608017
2.239,0.835916553
2.24,0.83576698
2.241,0.835630255
2.242,0.835502522
2.243,0.835382193
2.244,0.835267682
2.245,0.835157401
2.246,0.835049766
2.247,0.834943188
2.248,0.834836081
2.249,0.834726859
2.25,0.834613934
2.251,0.834499022
2.252,0.834384719
2.253,0.834270765
2.254,0.834156899
2.255,0.834042858
2.256,0.833928381
2.257,0.833813207
2.258,0.833697075
2.259,0.833579722
2.26,0.833460888
2.261,0.833341165
2.262,0.833221138
2.263,0.833100535
2.264,0.832979083
2.265,0.832856509
2.266,0.83273254
2.267,0.832606905
2.268,0.83247933
2.269,0.832349543
2.27,0.832217271
2.271,0.832081627
2.272,0.831942336
2.273,0.83180004
2.274,0.831655385
2.275,0.831509013
2.276,0.831361568
2.277,0.831213694
2.278,0.831066034
2.279,0.830919233
2.28,0.830773934
2.281,0.8306296
2.282,0.830485267
2.283,0.830340933
2.284,0.830196599
2.285,0.830052266
2.286,0.829907932
2.287,0.829763598
