Wavelength,FSS99 Ag
1.935,0.99775
1.936,0.9977352
1.937,0.9977216
1.938,0.9977104
1.939,0.9977028
1.94,0.9977
1.941,0.9977
1.942,0.9977
1.943,0.9977
1.944,0.9977
1.945,0.9977
1.946,0.9977
1.947,0.9977
1.948,0.9977
1.949,0.9977
1.95,0.9977
1.951,0.9976972
1.952,0.9976896
1.953,0.9976784
1.954,0.9976648
1.955,0.99765
1.956,0.9976352
1.957,0.9976216
1.958,0.9976104
1.959,0.9976028
1.96,0.9976
1.961,0.9976028
1.962,0.9976104
1.963,0.9976216
1.964,0.9976352
1.965,0.99765
1.966,0.9976648
1.967,0.9976784
1.968,0.9976896
1.969,0.9976972
1.97,0.9977
1.971,0.9977
1.972,0.9977
1.973,0.9977
1.974,0.9977
1.975,0.9977
1.976,0.9977
1.977,0.9977
1.978,0.9977
1.979,0.9977
1.98,0.9977
1.981,0.9977019
1.982,0.9977072
1.983,0.9977153
1.984,0.9977256
1.985,0.9977375
1.986,0.9977504
1.987,0.9977637
1.988,0.9977768
1.989,0.9977891
1.99,0.9978
1.991,0.9978109
1.992,0.9978232
1.993,0.9978363
1.994,0.9978496
1.995,0.9978625
1.996,0.9978744
1.997,0.9978847
1.998,0.9978928
1.999,0.9978981
2,0.9979
2.001,0.9979
2.002,0.9979
2.003,0.9979
2.004,0.9979
2.005,0.9979
2.006,0.9979
2.007,0.9979
2.008,0.9979
2.009,0.9979
2.01,0.9979
2.011,0.9979
2.012,0.9979
2.013,0.9979
2.014,0.9979
2.015,0.9979
2.016,0.9979
2.017,0.9979
2.018,0.9979
2.019,0.9979
2.02,0.9979
2.021,0.9979
2.022,0.9979
2.023,0.9979
2.024,0.9979
2.025,0.9979
2.026,0.9979
2.027,0.9979
2.028,0.9979
2.029,0.9979
2.03,0.9979
2.031,0.9979
2.032,0.9979
2.033,0.9979
2.034,0.9979
2.035,0.9979
2.036,0.9979
2.037,0.9979
2.038,0.9979
2.039,0.9979
2.04,0.9979
2.041,0.9979
2.042,0.9979
2.043,0.9979
2.044,0.9979
2.045,0.9979
2.046,0.9979
2.047,0.9979
2.048,0.9979
2.049,0.9979
2.05,0.9979
2.051,0.9979
2.052,0.9979
2.053,0.9979
2.054,0.9979
2.055,0.9979
2.056,0.9979
2.057,0.9979
2.058,0.9979
2.059,0.9979
2.06,0.9979
2.061,0.9979028
2.062,0.9979104
2.063,0.9979216
2.064,0.9979352
2.065,0.99795
2.066,0.9979648
2.067,0.9979784
2.068,0.9979896
2.069,0.9979972
2.07,0.998
2.071,0.998
2.072,0.998
2.073,0.998
2.074,0.998
2.075,0.998
2.076,0.998
2.077,0.998
2.078,0.998
2.079,0.998
2.08,0.998
2.081,0.9980028
2.082,0.9980104
2.083,0.9980216
2.084,0.9980352
2.085,0.99805
2.086,0.9980648
2.087,0.9980784
2.088,0.9980896
2.089,0.9980972
2.09,0.9981
2.091,0.9981
2.092,0.9981
2.093,0.9981
2.094,0.9981
2.095,0.9981
2.096,0.9981
2.097,0.9981
2.098,0.9981
2.099,0.9981
2.1,0.9981
2.101,0.9981028
2.102,0.9981104
2.103,0.9981216
2.104,0.9981352
2.105,0.99815
2.106,0.9981648
2.107,0.9981784
2.108,0.9981896
2.109,0.9981972
2.11,0.9982
2.111,0.9982
2.112,0.9982
2.113,0.9982
2.114,0.9982
2.115,0.9982
2.116,0.9982
2.117,0.9982
2.118,0.9982
2.119,0.9982
2.12,0.9982
2.121,0.9982
2.122,0.9982
2.123,0.9982
2.124,0.9982
2.125,0.9982
2.126,0.9982
2.127,0.9982
2.128,0.9982
2.129,0.9982
2.13,0.9982
2.131,0.9982
2.132,0.9982
2.133,0.9982
2.134,0.9982
2.135,0.9982
2.136,0.9982
2.137,0.9982
2.138,0.9982
2.139,0.9982
2.14,0.9982
2.141,0.9982
2.142,0.9982
2.143,0.9982
2.144,0.9982
2.145,0.9982
2.146,0.9982
2.147,0.9982
2.148,0.9982
2.149,0.9982
2.15,0.9982
2.151,0.9982
2.152,0.9982
2.153,0.9982
2.154,0.9982
2.155,0.9982
2.156,0.9982
2.157,0.9982
2.158,0.9982
2.159,0.9982
2.16,0.9982
2.161,0.9982
2.162,0.9982
2.163,0.9982
2.164,0.9982
2.165,0.9982
2.166,0.9982
2.167,0.9982
2.168,0.9982
2.169,0.9982
2.17,0.9982
2.171,0.9982028
2.172,0.9982104
2.173,0.9982216
2.174,0.9982352
2.175,0.99825
2.176,0.9982648
2.177,0.9982784
2.178,0.9982896
2.179,0.9982972
2.18,0.9983
2.181,0.9983
2.182,0.9983
2.183,0.9983
2.184,0.9983
2.185,0.9983
2.186,0.9983
2.187,0.9983
2.188,0.9983
2.189,0.9983
2.19,0.9983
2.191,0.9983028
2.192,0.9983104
2.193,0.9983216
2.194,0.9983352
2.195,0.99835
2.196,0.9983648
2.197,0.9983784
2.198,0.9983896
2.199,0.9983972
2.2,0.9984
2.201,0.9984
2.202,0.9984
2.203,0.9984
2.204,0.9984
2.205,0.9984
2.206,0.9984
2.207,0.9984
2.208,0.9984
2.209,0.9984
2.21,0.9984
2.211,0.9984028
2.212,0.9984104
2.213,0.9984216
2.214,0.9984352
2.215,0.99845
2.216,0.9984648
2.217,0.9984784
2.218,0.9984896
2.219,0.9984972
