Wavelength,CX 
1.759,0.7724583
1.76,0.772561
1.761,0.7726616
1.762,0.7727606
1.763,0.7728576
1.764,0.7729528
1.765,0.7730461
1.766,0.7731376
1.767,0.7732274
1.768,0.7733153
1.769,0.7734013
1.77,0.7734856
1.771,0.773568
1.772,0.7736487
1.773,0.7737276
1.774,0.7738046
1.775,0.7738799
1.776,0.7739535
1.777,0.7740251
1.778,0.7740952
1.779,0.7741634
1.78,0.7742298
1.781,0.7742945
1.782,0.7743575
1.783,0.7744188
1.784,0.7744781
1.785,0.774536
1.786,0.7745921
1.787,0.7746464
1.788,0.774699
1.789,0.7747499
1.79,0.7747992
1.791,0.7748467
1.792,0.7748924
1.793,0.7749366
1.794,0.774979
1.795,0.7750198
1.796,0.7750589
1.797,0.7750962
1.798,0.7751321
1.799,0.7751662
1.8,0.7751988
1.801,0.7752295
1.802,0.7752588
1.803,0.7752863
1.804,0.7753122
1.805,0.7753367
1.806,0.7753593
1.807,0.7753804
1.808,0.7753999
1.809,0.7754177
1.81,0.7754339
1.811,0.7754487
1.812,0.7754619
1.813,0.7754733
1.814,0.7754833
1.815,0.7754916
1.816,0.7754984
1.817,0.7755037
1.818,0.7755074
1.819,0.7755097
1.82,0.7755102
1.821,0.7755092
1.822,0.7755068
1.823,0.7755028
1.824,0.7754973
1.825,0.7754901
1.826,0.7754816
1.827,0.7754716
1.828,0.77546
1.829,0.7754469
1.83,0.7754322
1.831,0.7754163
1.832,0.7753988
1.833,0.7753797
1.834,0.7753592
1.835,0.7753372
1.836,0.7753139
1.837,0.7752889
1.838,0.7752625
1.839,0.7752346
1.84,0.7752056
1.841,0.7751749
1.842,0.7751427
1.843,0.7751091
1.844,0.7750741
1.845,0.7750377
1.846,0.7749999
1.847,0.7749607
1.848,0.77492
1.849,0.774878
1.85,0.7748345
1.851,0.7747896
1.852,0.7747434
1.853,0.7746959
1.854,0.7746469
1.855,0.7745966
1.856,0.7745448
1.857,0.7744917
1.858,0.7744373
1.859,0.7743815
1.86,0.7743244
1.861,0.7742659
1.862,0.774206
1.863,0.7741449
1.864,0.7740824
1.865,0.7740185
1.866,0.7739534
1.867,0.7738869
1.868,0.7738192
1.869,0.7737501
1.87,0.7736797
1.871,0.7736079
1.872,0.773535
1.873,0.7734607
1.874,0.7733853
1.875,0.7733083
1.876,0.7732301
1.877,0.7731509
1.878,0.7730702
1.879,0.7729883
1.88,0.7729051
1.881,0.7728207
1.882,0.7727349
1.883,0.772648
1.884,0.7725599
1.885,0.7724705
1.886,0.7723798
1.887,0.772288
1.888,0.7721949
1.889,0.7721007
1.89,0.7720051
1.891,0.7719083
1.892,0.7718104
1.893,0.7717113
1.894,0.771611
1.895,0.7715095
1.896,0.7714069
1.897,0.771303
1.898,0.771198
1.899,0.7710917
1.9,0.7709842
1.901,0.7708757
1.902,0.7707658
1.903,0.770655
1.904,0.770543
1.905,0.7704298
1.906,0.7703154
1.907,0.7702
1.908,0.7700833
1.909,0.7699656
1.91,0.7698468
1.911,0.7697268
1.912,0.7696056
1.913,0.7694834
1.914,0.7693601
1.915,0.7692357
1.916,0.7691101
1.917,0.7689834
1.918,0.7688557
1.919,0.7687268
1.92,0.7685969
1.921,0.7684659
1.922,0.7683339
1.923,0.7682006
1.924,0.7680665
1.925,0.7679312
1.926,0.7677948
1.927,0.7676573
1.928,0.7675189
1.929,0.7673795
1.93,0.7672389
1.931,0.7670971
1.932,0.7669545
1.933,0.766811
1.934,0.7666663
1.935,0.7665205
1.936,0.7663736
1.937,0.7662259
1.938,0.7660772
1.939,0.7659273
1.94,0.7657766
1.941,0.7656248
1.942,0.7654719
1.943,0.7653181
1.944,0.7651634
1.945,0.7650076
1.946,0.7648509
1.947,0.764693
1.948,0.7645344
1.949,0.7643746
1.95,0.764214
1.951,0.7640525
1.952,0.7638898
1.953,0.7637263
1.954,0.7635618
1.955,0.7633964
1.956,0.76323
1.957,0.7630627
1.958,0.7628943
1.959,0.7627251
1.96,0.762555
1.961,0.7623841
1.962,0.7622121
1.963,0.7620392
1.964,0.7618653
1.965,0.7616906
1.966,0.761515
1.967,0.7613385
1.968,0.7611609
1.969,0.7609828
1.97,0.7608034
1.971,0.7606233
1.972,0.7604423
1.973,0.7602604
1.974,0.7600777
1.975,0.7598941
1.976,0.7597096
1.977,0.7595241
1.978,0.7593378
1.979,0.7591508
1.98,0.7589628
1.981,0.758774
1.982,0.7585843
1.983,0.7583937
1.984,0.7582023
1.985,0.7580101
1.986,0.7578172
1.987,0.7576232
1.988,0.7574285
1.989,0.757233
1.99,0.7570366
1.991,0.7568395
1.992,0.7566416
1.993,0.7564427
1.994,0.7562431
1.995,0.7560425
