Wavelength,Opticoat Ag
1.976,0.996568187
1.977,0.996518332
1.978,0.996469104
1.979,0.99642239
1.98,0.996380072
1.981,0.99634049
1.982,0.996300766
1.983,0.996260961
1.984,0.996221136
1.985,0.996181352
1.986,0.996141668
1.987,0.996102147
1.988,0.996062849
1.989,0.996023834
1.99,0.995985163
1.991,0.995943491
1.992,0.995896894
1.993,0.995847565
1.994,0.995797697
1.995,0.995749484
1.996,0.995705118
1.997,0.995666794
1.998,0.995636704
1.999,0.995617042
2,0.99561
2.001,0.99561
2.002,0.99561
2.003,0.99561
2.004,0.99561
2.005,0.99561
2.006,0.99561
2.007,0.99561
2.008,0.99561
2.009,0.99561
2.01,0.99561
2.011,0.99561
2.012,0.99561
2.013,0.99561
2.014,0.99561
2.015,0.99561
2.016,0.99561
2.017,0.99561
2.018,0.99561
2.019,0.99561
2.02,0.99561
2.021,0.99561
2.022,0.99561
2.023,0.99561
2.024,0.99561
2.025,0.99561
2.026,0.99561
2.027,0.99561
2.028,0.99561
2.029,0.99561
2.03,0.99561
2.031,0.99561
2.032,0.99561
2.033,0.99561
2.034,0.99561
2.035,0.99561
2.036,0.99561
2.037,0.99561
2.038,0.99561
2.039,0.99561
2.04,0.99561
2.041,0.995610019
2.042,0.995610075
2.043,0.995610169
2.044,0.9956103
2.045,0.995610469
2.046,0.995610674
2.047,0.995610917
2.048,0.995611197
2.049,0.995611513
2.05,0.995611866
2.051,0.995619256
2.052,0.995639205
2.053,0.995669498
2.054,0.995707917
2.055,0.995752247
2.056,0.99580027
2.057,0.995849772
2.058,0.995898534
2.059,0.995944341
2.06,0.995984977
2.061,0.996022288
2.062,0.996059599
2.063,0.99609691
2.064,0.996134221
2.065,0.996171532
2.066,0.996208844
2.067,0.996246155
2.068,0.996283466
2.069,0.996320777
2.07,0.996358088
2.071,0.996397466
2.072,0.996440059
2.073,0.99648449
2.074,0.99652938
2.075,0.996573351
2.076,0.996615025
2.077,0.996653026
2.078,0.996685973
2.079,0.996712491
2.08,0.9967312
2.081,0.996745306
2.082,0.996758798
2.083,0.996771469
2.084,0.996783115
2.085,0.996793532
2.086,0.996802514
2.087,0.996809857
2.088,0.996815355
2.089,0.996818805
2.09,0.99682
2.091,0.99682
2.092,0.99682
2.093,0.99682
2.094,0.99682
2.095,0.99682
2.096,0.99682
2.097,0.99682
2.098,0.99682
2.099,0.99682
2.1,0.99682
2.101,0.996789435
2.102,0.996703215
2.103,0.99656955
2.104,0.996396653
2.105,0.996192734
2.106,0.995966006
2.107,0.99572468
2.108,0.995476967
2.109,0.995231079
2.11,0.994995227
2.111,0.994725313
2.112,0.994386969
2.113,0.994003007
2.114,0.993596234
2.115,0.993189462
2.116,0.992805499
2.117,0.992467156
2.118,0.992197241
2.119,0.992018565
2.12,0.991953938
2.121,0.991966471
2.122,0.992002449
2.123,0.992059439
2.124,0.992135007
2.125,0.992226721
2.126,0.992332148
2.127,0.992448854
2.128,0.992574407
2.129,0.992706375
2.13,0.992842323
2.131,0.993020798
2.132,0.99327085
2.133,0.9935758
2.134,0.99391897
2.135,0.994283682
2.136,0.994653257
2.137,0.995011017
2.138,0.995340283
2.139,0.995624377
2.14,0.995846622
2.141,0.996023888
2.142,0.996185661
2.143,0.996334183
2.144,0.996471694
2.145,0.996600436
2.146,0.996722651
2.147,0.99684058
2.148,0.996956465
2.149,0.997072547
2.15,0.997191067
2.151,0.997311739
2.152,0.997432195
2.153,0.997551557
2.154,0.997668945
2.155,0.99778348
2.156,0.997894285
2.157,0.99800048
2.158,0.998101185
2.159,0.998195523
2.16,0.998282615
2.161,0.998365192
2.162,0.998446128
2.163,0.998524755
2.164,0.998600406
2.165,0.998672415
2.166,0.998740113
2.167,0.998802834
2.168,0.998859912
2.169,0.998910677
2.17,0.998954464
2.171,0.99899492
2.172,0.999035456
2.173,0.99907505
2.174,0.999112681
2.175,0.999147326
2.176,0.999177964
2.177,0.999203572
2.178,0.999223128
2.179,0.999235612
2.18,0.99924
2.181,0.99924
2.182,0.99924
2.183,0.99924
2.184,0.99924
2.185,0.99924
2.186,0.99924
2.187,0.99924
2.188,0.99924
2.189,0.99924
2.19,0.99924
2.191,0.99924
2.192,0.99924
2.193,0.99924
2.194,0.99924
2.195,0.99924
2.196,0.99924
2.197,0.99924
2.198,0.99924
2.199,0.99924
2.2,0.99924
2.201,0.99924
2.202,0.99924
2.203,0.99924
2.204,0.99924
2.205,0.99924
2.206,0.99924
2.207,0.99924
2.208,0.99924
2.209,0.99924
2.21,0.99924
2.211,0.99924
2.212,0.99924
2.213,0.99924
2.214,0.99924
2.215,0.99924
2.216,0.99924
2.217,0.99924
2.218,0.99924
2.219,0.99924
2.22,0.99924
2.221,0.99924
2.222,0.99924
2.223,0.99924
2.224,0.99924
2.225,0.99924
2.226,0.99924
2.227,0.99924
2.228,0.99924
2.229,0.99924
2.23,0.99924
2.231,0.99924
2.232,0.99924
2.233,0.99924
2.234,0.99924
2.235,0.99924
2.236,0.99924
2.237,0.99924
2.238,0.99924
2.239,0.99924
2.24,0.99924
2.241,0.99924
2.242,0.99924
2.243,0.99924
2.244,0.99924
2.245,0.99924
2.246,0.99924
2.247,0.99924
2.248,0.99924
2.249,0.99924
2.25,0.99924
2.251,0.99924
2.252,0.99924
2.253,0.99924
2.254,0.99924
2.255,0.99924
2.256,0.99924
2.257,0.99924
2.258,0.99924
2.259,0.99924
2.26,0.99924
2.261,0.99924
2.262,0.99924
2.263,0.99924
2.264,0.99924
2.265,0.99924
2.266,0.99924
2.267,0.99924
2.268,0.99924
2.269,0.99924
2.27,0.99924
2.271,0.99924
2.272,0.99924
2.273,0.99924
2.274,0.99924
2.275,0.99924
2.276,0.99924
2.277,0.99924
2.278,0.99924
2.279,0.99924
2.28,0.99924
2.281,0.99910432
2.282,0.998721351
2.283,0.998127198
2.284,0.997357968
2.285,0.996449766
2.286,0.995438698
2.287,0.99436087
2.288,0.993252389
2.289,0.992149359
2.29,0.991087887
2.291,0.989864488
2.292,0.98832194
2.293,0.986565749
2.294,0.984701417
2.295,0.982834447
2.296,0.981070343
2.297,0.979514608
2.298,0.978272745
2.299,0.977450258
2.3,0.977152651
2.301,0.97721912
2.302,0.97740485
2.303,0.977689325
2.304,0.97805203
2.305,0.978472449
2.306,0.978930067
2.307,0.979404368
2.308,0.979874835
2.309,0.980320955
2.31,0.98072221
2.311,0.981132251
2.312,0.981602219
2.313,0.982107831
2.314,0.982624807
2.315,0.983128866
2.316,0.983595726
2.317,0.984001106
2.318,0.984320726
2.319,0.984530304
2.32,0.984605559
2.321,0.984212487
2.322,0.98313291
2.323,0.981516289
2.324,0.979512085
2.325,0.977269757
2.326,0.974938766
2.327,0.972668573
2.328,0.970608638
