Wavelength,K-L Fiber
1.923,0.99278354
1.924,0.99279615
1.925,0.99280876
1.926,0.99282137
1.927,0.99283398
1.928,0.9928466
1.929,0.99285921
1.93,0.99287182
1.931,0.99288443
1.932,0.99289704
1.933,0.99290965
1.934,0.99292226
1.935,0.99293487
1.936,0.99294749
1.937,0.9929601
1.938,0.99297271
1.939,0.99298532
1.94,0.99299793
1.941,0.99301261
1.942,0.99302729
1.943,0.99304197
1.944,0.99305665
1.945,0.99307133
1.946,0.99308601
1.947,0.99310069
1.948,0.99311537
1.949,0.99313005
1.95,0.99314473
1.951,0.99315941
1.952,0.99317409
1.953,0.99318877
1.954,0.99320345
1.955,0.99321813
1.956,0.99323281
1.957,0.99324749
1.958,0.99326217
1.959,0.99327685
1.96,0.99329153
1.961,0.99330717
1.962,0.99332282
1.963,0.99333847
1.964,0.99335411
1.965,0.99336976
1.966,0.99338541
1.967,0.99340105
1.968,0.9934167
1.969,0.99343235
1.97,0.99344799
1.971,0.99346364
1.972,0.99347928
1.973,0.99349493
1.974,0.99351058
1.975,0.99352622
1.976,0.99354187
1.977,0.99355752
1.978,0.99357316
1.979,0.99358881
1.98,0.99360445
1.981,0.99361824
1.982,0.99363203
1.983,0.99364582
1.984,0.9936596
1.985,0.99367339
1.986,0.99368718
1.987,0.99370096
1.988,0.99371475
1.989,0.99372854
1.99,0.99374232
1.991,0.99375611
1.992,0.9937699
1.993,0.99378368
1.994,0.99379747
1.995,0.99381126
1.996,0.99382505
1.997,0.99383883
1.998,0.99385262
1.999,0.99386641
2,0.99388019
2.001,0.99389229
2.002,0.99390439
2.003,0.99391649
2.004,0.99392859
2.005,0.99394069
2.006,0.99395279
2.007,0.99396489
2.008,0.99397699
2.009,0.99398909
2.01,0.99400119
2.011,0.99401329
2.012,0.99402539
2.013,0.99403749
2.014,0.99404958
2.015,0.99406168
2.016,0.99407378
2.017,0.99408588
2.018,0.99409798
2.019,0.99411008
2.02,0.99412218
2.021,0.99413449
2.022,0.99414681
2.023,0.99415912
2.024,0.99417143
2.025,0.99418374
2.026,0.99419606
2.027,0.99420837
2.028,0.99422068
2.029,0.99423299
2.03,0.99424531
2.031,0.99425762
2.032,0.99426993
2.033,0.99428224
2.034,0.99429456
2.035,0.99430687
2.036,0.99431918
2.037,0.99433149
2.038,0.99434381
2.039,0.99435612
2.04,0.99436843
2.041,0.99438177
2.042,0.9943951
2.043,0.99440844
2.044,0.99442177
2.045,0.99443511
2.046,0.99444844
2.047,0.99446178
2.048,0.99447511
2.049,0.99448845
2.05,0.99450178
2.051,0.99451512
2.052,0.99452845
2.053,0.99454179
2.054,0.99455512
2.055,0.99456846
2.056,0.99458179
2.057,0.99459513
2.058,0.99460846
2.059,0.9946218
