Wavelength,Echelle
2.065,0.929094
2.066,0.9565138
2.067,0.9777656
2.068,0.9922175
2.069,0.9993201
2.07,0.9986233
2.071,0.9897913
2.072,0.9726233
2.073,0.9470747
2.074,0.9132664
2.075,0.8715112
2.076,0.8222992
2.077,0.7663313
2.078,0.7045196
2.079,0.6379441
2.08,0.5678798
2.081,0.495763
2.082,0.4231575
2.083,0.4399922
2.084,0.4874227
2.085,0.5359228
2.086,0.5850192
2.087,0.634203
2.088,0.682896
2.089,0.7304708
2.09,0.7763128
2.091,0.8197256
2.092,0.8600243
2.093,0.8965175
2.094,0.9285156
2.095,0.9553509
2.096,0.9763913
2.097,0.9910553
2.098,0.9988242
2.099,0.9992698
2.1,0.9920619
2.101,0.9769874
2.102,0.9539769
2.103,0.9230874
2.104,0.8845615
2.105,0.8388048
2.106,0.7863939
2.107,0.7280869
2.108,0.6648449
2.109,0.5977539
2.11,0.5280989
2.111,0.4572786
2.112,0
2.113,0.4623021
2.114,0.5088375
2.115,0.5561883
2.116,0.6039257
2.117,0.6515365
2.118,0.6984853
2.119,0.7442104
2.12,0.7881116
2.121,0.8295571
2.122,0.8679204
2.123,0.9025653
2.124,0.9328714
2.125,0.9582145
2.126,0.9780186
2.127,0.991762
2.128,0.9989693
2.129,0.9992442
2.13,0.9922835
2.131,0.9778879
2.132,0.9559733
2.133,0.9265966
2.134,0.8899527
2.135,0.8463768
2.136,0.7963852
2.137,0.7406583
2.138,0.6800107
2.139,0.6154225
2.14,0.5480641
2.141,0.4791705
2.142,0
2.143,0.4456973
2.144,0.4903979
2.145,0.5360399
2.146,0.582225
2.147,0.6285034
2.148,0.6744326
2.149,0.7194835
2.15,0.7631384
2.151,0.8048282
2.152,0.8439872
2.153,0.8800274
2.154,0.9123638
2.155,0.9404362
2.156,0.9636781
2.157,0.9815795
2.158,0.9936594
2.159,0.9994946
2.16,0.9987355
2.161,0.9911111
2.162,0.9764457
2.163,0.954674
2.164,0.9258373
2.165,0.8901187
2.166,0.8478399
2.167,0.7994483
2.168,0.7455527
2.169,0.686905
2.17,0.6243984
2.171,0.5590765
2.172,0.4920565
2.173,0
2.174,0
2.175,0.4781751
2.176,0.5221785
2.177,0.5668123
2.178,0.61169
2.179,0.6564025
2.18,0.7004852
2.181,0.7434793
2.182,0.784866
2.183,0.8241473
2.184,0.8607729
2.185,0.8942337
2.186,0.9239823
2.187,0.9495091
2.188,0.9703079
2.189,0.9859207
2.19,0.9959202
2.191,0.9999337
2.192,0.997656
2.193,0.9888543
2.194,0.9733809
2.195,0.9511889
2.196,0.9223354
2.197,0.8869922
2.198,0.8454574
2.199,0.7981564
2.2,0.7456397
2.201,0.6886099
2.202,0.627866
2.203,0.5643668
2.204,0.4991407
2.205,0
2.206,0
2.207,0.4699057
2.208,0.5123585
2.209,0.555488
2.21,0.5989351
2.211,0.6423508
2.212,0.6853202
2.213,0.7274207
2.214,0.7682044
2.215,0.8072094
2.216,0.8439496
2.217,0.8779497
2.218,0.9087135
2.219,0.935764
2.22,0.9586367
2.221,0.9768813
2.222,0.9900857
2.223,0.9978777
2.224,0.9999311
2.225,0.9959817
2.226,0.9858348
2.227,0.9693731
2.228,0.9465681
2.229,0.9174841
2.23,0.882296
2.231,0.8412884
2.232,0.7948492
2.233,0.7435227
2.234,0.6878991
2.235,0.6287619
2.236,0.5669737
2.237,0.5034881
2.238,0
2.239,0
2.24,0
2.241,0.5045117
2.242,0.5461529
2.243,0.5881925
2.244,0.6302716
2.245,0.672058
2.246,0.7131549
2.247,0.7531697
2.248,0.791682
2.249,0.8282657
2.25,0.8624742
2.251,0.893855
2.252,0.9219822
2.253,0.9464093
2.254,0.9667262
2.255,0.9825302
2.256,0.9934571
2.257,0.9991775
2.258,0.9994091
2.259,0.9939253
2.26,0.9825631
2.261,0.9652336
2.262,0.9419169
2.263,0.9126927
2.264,0.8777314
2.265,0.8373005
2.266,0.791769
2.267,0.7416103
2.268,0.6874236
2.269,0.6298752
2.27,0.5697851
2.271,0.508013
2.272,2.26E-13
2.273,0
2.274,0
2.275,0.4966968
2.276,0.5368897
2.277,0.5775002
2.278,0.6182479
2.279,0.6588243
2.28,0.6988688
2.281,0.7380475
2.282,0.7759644
2.283,0.8122457
2.284,0.8464918
2.285,0.8782908
2.286,0.9072437
2.287,0.9329594
2.288,0.9550297
2.289,0.9730864
2.29,0.98678
2.291,0.9957818
2.292,0.9998016
2.293,0.9985946
2.294,0.9919658
2.295,0.9797715
2.296,0.9619445
2.297,0.9384842
2.298,0.9094568
2.299,0.8750288
2.3,0.8354474
2.301,0.7910626
2.302,0.7423031
2.303,0.6896806
2.304,0.6338643
2.305,0.5755443
2.306,0.5155256
2.307,0
2.308,0
2.309,0
2.31,0
2.311,0.5258785
2.312,0.5650696
2.313,0.6044754
2.314,0.6438243
2.315,0.6828056
2.316,0.7211084
2.317,0.7584
2.318,0.7943293
2.319,0.8285413
2.32,0.8606757
2.321,0.8903564
2.322,0.9172231
2.323,0.9409118
2.324,0.9610657
2.325,0.9773523
2.326,0.9894573
2.327,0.9970839
2.328,0.9999794
2.329,0.9979235
2.33,0.9907443
2.331,0.9783188
2.332,0.9605824
2.333,0.9375387
2.334,0.9092484
2.335,0.8758648
2.336,0.8376021
2.337,0.79477
2.338,0.7477627
2.339,0.6970369
2.34,0.643179
2.341,0.5868124
2.342,0.5286666
2.343,0
2.344,0
2.345,0
2.346,0
2.347,0.5115068
2.348,0.5492376
2.349,0.5872702
2.35,0.6253696
2.351,0.6632761
2.352,0.7006965
2.353,0.7373435
2.354,0.7729051
2.355,0.8070757
2.356,0.8395073
2.357,0.8698874
2.358,0.8978779
2.359,0.9231353
2.36,0.9453404
2.361,0.9641715
2.362,0.979326
2.363,0.9905198
2.364,0.9974867
2.365,0.9999954
2.366,0.9978457
2.367,0.99088
2.368,0.9789853
2.369,0.9620979
2.37,0.9402009
2.371,0.9133603
2.372,0.8816867
2.373,0.8453679
2.374,0.8046778
2.375,0.759937
2.376,0.7115601
2.377,0.6600335
2.378,0.6059327
2.379,0.5498886
2.38,0
2.381,0
2.382,0
2.383,0
2.384,0
2.385,0.528511
2.386,0.5651187
2.387,0.6019242
2.388,0.6387054
2.389,0.6752098
2.39,0.7111819
2.391,0.7463514
2.392,0.780451
2.393,0.8131756
2.394,0.8442266
2.395,0.8733172
2.396,0.9001333
2.397,0.9243789
2.398,0.9457492
2.399,0.9639617
2.4,0.9787337
2.401,0.9898099
2.402,0.9969434
2.403,0.9999204
2.404,0.9985527
2.405,0.9926882
2.406,0.9822078
2.407,0.9670445
2.408,0.9471772
2.409,0.9226268
