!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  MKO filter system
!
!        Teff    Logg   [M/H]   [a/H]             J           H          Ks          L'          M'
      1700.00    3.50    0.00    0.00       -34.501     -35.605     -36.591     -37.711     -37.713
      1700.00    3.50    0.50    0.00       -34.350     -35.525     -36.590     -37.705     -37.714
      1700.00    3.50   -0.50    0.20       -34.640     -35.596     -36.509     -37.647     -37.644
      1700.00    4.00    0.00    0.00       -34.310     -35.589     -36.623     -37.787     -37.796
      1700.00    4.00    0.50    0.00       -33.793     -35.361     -36.596     -37.826     -37.826
      1700.00    4.00   -0.50    0.20       -34.767     -35.696     -36.562     -37.707     -37.694
      1700.00    4.50    0.00    0.00       -34.381     -35.677     -36.650     -37.814     -37.737
      1700.00    4.50    0.50    0.00       -34.734     -35.638     -36.374     -37.381     -37.484
      1700.00    4.50   -0.50    0.20       -34.578     -35.646     -36.562     -37.764     -37.741
      1700.00    5.00    0.00    0.00       -35.184     -36.063     -36.673     -37.816     -37.458
      1700.00    5.00    0.50    0.00       -34.604     -35.356     -36.191     -37.326     -37.522
      1700.00    5.00   -0.50    0.20       -35.217     -35.912     -36.534     -37.749     -37.411
      1750.00    3.50    0.00    0.00       -34.610     -35.807     -36.813     -37.872     -37.850
      1750.00    4.00    0.00    0.00       -34.677     -35.750     -36.680     -37.797     -37.809
      1750.00    4.50    0.00    0.00       -34.730     -35.906     -36.797     -37.885     -37.729
      1750.00    5.00    0.00    0.00       -35.379     -36.156     -36.714     -37.794     -37.386
      1700.00    5.50    0.00    0.00       -34.603     -35.809     -36.609     -37.651     -37.349
      1750.00    5.50    0.00    0.00       -34.732     -35.962     -36.819     -37.949     -37.402
      1800.00    3.50    0.00    0.00       -34.758     -35.780     -36.725     -37.785     -37.764
      1800.00    3.50    0.50    0.00       -35.170     -35.980     -36.870     -37.844     -37.785
      1800.00    3.50   -0.50    0.20       -35.433     -36.012     -36.758     -37.754     -37.686
      1800.00    4.00    0.00    0.00       -34.916     -35.894     -36.773     -37.843     -37.825
      1800.00    4.00    0.50    0.00       -34.682     -35.835     -36.856     -37.914     -37.827
      1800.00    4.00   -0.50    0.20       -35.137     -35.927     -36.722     -37.791     -37.719
      1800.00    4.50    0.00    0.00       -35.240     -36.134     -36.861     -37.880     -37.724
      1800.00    4.50    0.50    0.00       -35.076     -35.920     -36.743     -37.718     -37.749
      1800.00    4.50   -0.50    0.20       -35.306     -36.098     -36.846     -37.892     -37.757
      1800.00    5.00    0.00    0.00       -35.246     -36.013     -36.706     -37.690     -37.763
      1800.00    5.00    0.50    0.00       -35.319     -36.002     -36.727     -37.652     -37.773
      1800.00    5.00   -0.50    0.20       -35.372     -35.976     -36.639     -37.671     -37.702
      1850.00    3.50    0.00    0.00       -35.303     -36.030     -36.838     -37.815     -37.761
      1850.00    4.00    0.00    0.00       -35.397     -36.171     -36.928     -37.894     -37.806
      1850.00    4.50    0.00    0.00       -35.619     -36.324     -36.950     -37.914     -37.679
      1850.00    5.00    0.00    0.00       -35.280     -36.023     -36.714     -37.715     -37.707
      1800.00    5.50    0.00    0.00       -35.362     -36.193     -36.787     -37.813     -37.400
      1850.00    5.50    0.00    0.00       -35.796     -36.416     -36.866     -37.754     -37.586
      1900.00    3.00    0.00    0.00       -35.654     -36.060     -36.787     -37.743     -37.706
      1900.00    3.50    0.00    0.00       -35.651     -36.209     -36.923     -37.838     -37.764
      1900.00    3.50    0.50    0.00       -35.663     -36.245     -37.024     -37.919     -37.856
      1900.00    4.00    0.00    0.00       -35.617     -36.298     -37.004     -37.926     -37.816
      1900.00    4.00    0.50    0.00       -35.553     -36.336     -37.139     -38.022     -37.805
      1900.00    4.00   -0.50    0.20       -35.501     -36.289     -37.054     -37.996     -37.885
      1900.00    4.50    0.00    0.00       -35.812     -36.422     -36.987     -37.923     -37.682
      1900.00    4.50    0.50    0.00       -35.661     -36.250     -36.938     -37.818     -37.718
      1900.00    5.00    0.00    0.00       -35.617     -36.254     -36.950     -38.027     -37.782
      1900.00    5.00    0.50    0.00       -35.730     -36.177     -36.789     -37.797     -37.818
      1900.00    5.00   -0.50    0.20       -35.838     -36.328     -36.884     -37.901     -37.768
